Week,FluVisits
2009-06-29/2009-07-05,180
2009-07-06/2009-07-12,115
2009-07-13/2009-07-19,132
2009-07-20/2009-07-26,109
2009-07-27/2009-08-02,120
2009-08-03/2009-08-09,115
2009-08-10/2009-08-16,123
2009-08-17/2009-08-23,205
2009-08-24/2009-08-30,454
2009-08-31/2009-09-06,628
2009-09-07/2009-09-13,687
2009-09-14/2009-09-20,821
2009-09-21/2009-09-27,1025
2009-09-28/2009-10-04,1338
2009-10-05/2009-10-11,1620
2009-10-12/2009-10-18,2078
2009-10-19/2009-10-25,2862
2009-10-26/2009-11-01,2926
2009-11-02/2009-11-08,2414
2009-11-09/2009-11-15,1908
2009-11-16/2009-11-22,1344
2009-11-23/2009-11-29,965
2009-11-30/2009-12-06,595
2009-12-07/2009-12-13,442
2009-12-14/2009-12-20,436
2009-12-21/2009-12-27,405
2009-12-28/2010-01-03,344
2010-01-04/2010-01-10,276
2010-01-11/2010-01-17,280
2010-01-18/2010-01-24,261
2010-01-25/2010-01-31,238
2010-02-01/2010-02-07,263
2010-02-08/2010-02-14,262
2010-02-15/2010-02-21,275
2010-02-22/2010-02-28,287
2010-03-01/2010-03-07,278
2010-03-08/2010-03-14,268
2010-03-15/2010-03-21,201
2010-03-22/2010-03-28,152
2010-03-29/2010-04-04,124
2010-04-05/2010-04-11,93
2010-04-12/2010-04-18,70
2010-04-19/2010-04-25,67
2010-04-26/2010-05-02,61
2010-05-03/2010-05-09,45
2010-05-10/2010-05-16,55
2010-05-17/2010-05-23,50
2010-05-24/2010-05-30,38
2010-05-31/2010-06-06,31
2010-06-07/2010-06-13,27
2010-06-14/2010-06-20,23
2010-06-21/2010-06-27,26
2010-06-28/2010-07-04,29
2010-07-05/2010-07-11,29
2010-07-12/2010-07-18,26
2010-07-19/2010-07-25,22
2010-07-26/2010-08-01,23
2010-08-02/2010-08-08,27
2010-08-09/2010-08-15,27
2010-08-16/2010-08-22,29
2010-08-23/2010-08-29,36
2010-08-30/2010-09-05,45
2010-09-06/2010-09-12,34
2010-09-13/2010-09-19,54
2010-09-20/2010-09-26,47
2010-09-27/2010-10-03,49
2010-10-04/2010-10-10,65
2010-10-11/2010-10-17,59
2010-10-18/2010-10-24,70
2010-10-25/2010-10-31,75
2010-11-01/2010-11-07,86
2010-11-08/2010-11-14,103
2010-11-15/2010-11-21,122
2010-11-22/2010-11-28,140
2010-11-29/2010-12-05,138
2010-12-06/2010-12-12,237
2010-12-13/2010-12-19,439
2010-12-20/2010-12-26,599
2010-12-27/2011-01-02,643
2011-01-03/2011-01-09,522
2011-01-10/2011-01-16,720
2011-01-17/2011-01-23,1182
2011-01-24/2011-01-30,1594
2011-01-31/2011-02-06,1722
2011-02-07/2011-02-13,1616
2011-02-14/2011-02-20,1818
2011-02-21/2011-02-27,1409
2011-02-28/2011-03-06,967
2011-03-07/2011-03-13,713
2011-03-14/2011-03-20,498
2011-03-21/2011-03-27,325
2011-03-28/2011-04-03,220
2011-04-04/2011-04-10,162
2011-04-11/2011-04-17,101
2011-04-18/2011-04-24,75
2011-04-25/2011-05-01,58
2011-05-02/2011-05-08,38
2011-05-09/2011-05-15,35
2011-05-16/2011-05-22,27
2011-05-23/2011-05-29,18
2011-05-30/2011-06-05,19
2011-06-06/2011-06-12,19
2011-06-13/2011-06-19,16
2011-06-20/2011-06-26,11
2011-06-27/2011-07-03,14
2011-07-04/2011-07-10,13
2011-07-11/2011-07-17,11
2011-07-18/2011-07-24,13
2011-07-25/2011-07-31,13
2011-08-01/2011-08-07,11
2011-08-08/2011-08-14,14
2011-08-15/2011-08-21,16
2011-08-22/2011-08-28,18
2011-08-29/2011-09-04,32
2011-09-05/2011-09-11,32
2011-09-12/2011-09-18,37
2011-09-19/2011-09-25,47
2011-09-26/2011-10-02,45
2011-10-03/2011-10-09,53
2011-10-10/2011-10-16,55
2011-10-17/2011-10-23,54
2011-10-24/2011-10-30,58
2011-10-31/2011-11-06,70
2011-11-07/2011-11-13,64
2011-11-14/2011-11-20,57
2011-11-21/2011-11-27,62
2011-11-28/2011-12-04,80
2011-12-05/2011-12-11,68
2011-12-12/2011-12-18,83
2011-12-19/2011-12-25,88
2011-12-26/2012-01-01,104
2012-01-02/2012-01-08,86
2012-01-09/2012-01-15,84
2012-01-16/2012-01-22,99
2012-01-23/2012-01-29,117
2012-01-30/2012-02-05,137
2012-02-06/2012-02-12,177
2012-02-13/2012-02-19,270
2012-02-20/2012-02-26,350
2012-02-27/2012-03-04,400
2012-03-05/2012-03-11,458
2012-03-12/2012-03-18,491
2012-03-19/2012-03-25,377
2012-03-26/2012-04-01,275
2012-04-02/2012-04-08,218
2012-04-09/2012-04-15,182
2012-04-16/2012-04-22,161
2012-04-23/2012-04-29,126
2012-04-30/2012-05-06,109
2012-05-07/2012-05-13,93
2012-05-14/2012-05-20,76
2012-05-21/2012-05-27,68
2012-05-28/2012-06-03,55
2012-06-04/2012-06-10,44
2012-06-11/2012-06-17,38
2012-06-18/2012-06-24,23
2012-06-25/2012-07-01,22
2012-07-02/2012-07-08,22
2012-07-09/2012-07-15,13
2012-07-16/2012-07-22,18
2012-07-23/2012-07-29,16
2012-07-30/2012-08-05,13
2012-08-06/2012-08-12,11
2012-08-13/2012-08-19,18
2012-08-20/2012-08-26,17
2012-08-27/2012-09-02,21
2012-09-03/2012-09-09,22
2012-09-10/2012-09-16,32
2012-09-17/2012-09-23,36
2012-09-24/2012-09-30,50
2012-10-01/2012-10-07,53
2012-10-08/2012-10-14,59
2012-10-15/2012-10-21,78
2012-10-22/2012-10-28,81
2012-10-29/2012-11-04,126
2012-11-05/2012-11-11,183
2012-11-12/2012-11-18,253
2012-11-19/2012-11-25,434
2012-11-26/2012-12-02,529
2012-12-03/2012-12-09,1058
2012-12-10/2012-12-16,1430
2012-12-17/2012-12-23,2084
